Name,ProductGroup,SKU,Barcode,MeasurementUnit,Cost,Markup,Price,Tax,IsTaxInclusivePrice,IsPriceChangeAllowed,IsUsingDefaultQuantity,IsService,IsEnabled,Description,Quantity,Supplier,ReorderPoint,PreferredQuantity,LowStockWarning,WarningQuantity
rojo completo 2.5,,179,2507071847063,pcs,550,0,850.0,0,0,0,1,0,1,rojo completo 2.5,1,,,,,
Negro camuflaje 2.5,,180,2507071848169,pcs,550,0,850.0,0,0,0,1,0,1,Negro camuflaje 2.5,1,,2,0,0,0
gris azul blanco  2.5,,181,2507071849142,pcs,550,0,850.0,0,0,0,1,0,1,gris azul blanco  2.5,1,,,,,
Negro suela azul agua 23,,182,2507071850452,pcs,550,0,850.0,0,0,0,1,0,1,Negro suela azul agua 23,1,,,,,
Negro vitral 6.5,,183,2507071851596,pcs,550,0,850.0,0,0,0,1,0,1,Negro vitral 6.5,1,,,,,
Marmol con negro 8.5,,184,2507071856126,pcs,550,0,850.0,0,0,0,1,0,1,Marmol con negro 8.5,1,,,,,
blanco verde negro 5,,185,2507071901192,pcs,550,0,850.0,0,0,0,1,0,1,blanco verde negro 5,1,,,,,
negro azul marino 7.5,,186,2507071902458,pcs,550,0,850.0,0,0,0,1,0,1,negro azul marino 7.5,1,,,,,
marmol con negro 9.5,,187,2507071905572,pcs,550,0,850.0,0,0,0,1,0,1,marmol con negro 9.5,1,,,,,
negro con amarillo 2.5,,188,2507071911047,pcs,550,0,850.0,0,0,0,1,0,1,negro con amarillo 2.5,1,,,,,
negro azul marino 5,,189,2507071912242,pcs,550,0,850.0,0,0,0,1,0,1,negro azul marino 5,0,,,,,
marmol con negro 5,,190,2507071913157,pcs,550,0,850.0,0,0,0,1,0,1,marmol con negro 5,0,,,,,
negro azul marino 6.5,,191,2507071914000,pcs,550,0,850.0,0,0,0,1,0,1,negro azul marino 6.5,1,,,,,
Negro con amarillo 27.5,,192,2507071921329,pcs,550,0,850.0,0,0,0,1,0,1,Negro con amarillo 27.5,1,,,,,
Negro superstar 7.5,,193,2507071927499,pcs,550,0,850.0,0,0,0,1,0,1,Negro superstar 7.5,1,,,,,
negro con amarillo 6.5,,194,2507071930567,pcs,550,0,850.0,0,0,0,1,0,1,negro con amarillo 6.5,0,,,,,
nagro marmol 2.5,,195,2507071937511,pcs,550,0,850.0,0,0,0,1,0,1,nagro marmol 2.5,0,,1,1,0,0
marmol negro 3.5,Producto,196,2507071940368,pcs,550,0,850.0,0,0,0,1,0,1,marmol negro 3.5,1,,1,0,0,0
mochila tenis,,197,2507072030358,pcs,90,33.3333,120.0,0,0,0,1,0,1,mochila tenis,19,,,,,
marmol con negro 6.5,,198,2507081553145,pcs,550,0,850.0,0,0,0,1,0,1,marmol con negro 6.5,1,,1,1,0,0
